date,score,user_tags,user_rank,usage_duration,item_option,text_review,recommendation_score,발색력,지속력,발림성,수분감,skin_tone
2024.10.07,5점만점에 3점,,,한달이상사용,[옵션] 06 데일리모브,엄청 예쁜 색은 아닌 듯… 평범해요 글램틴트 광택은 아주 예쁨…,0,보통이에요,보통이에요,보통이에요,보통이에요,
2024.09.04,5점만점에 3점,"복합성, 여름쿨톤, 민감성, 트러블",,,[옵션] 14 하트핑크다이아,광도 많이 나고 촉촉해요. 다만 색감은 좀 흔한 느낌..괜히 산 것 같기두,0,보통이에요,보통이에요,아주 만족해요,아주 촉촉해요, 여름쿨톤
2024.08.24,5점만점에 3점,,,,[옵션] 01 빈티지애플,자속력이 다소 아쉽지만 발색 발림성이 너무 좋더라구요 은은한 광택도 나요 !!,0,보통이에요,예상보다 짧아요,아주 만족해요,보통이에요,
2024.08.22,5점만점에 3점,,,,[옵션] 06 데일리모브,생각보다 손이 안 가는 것 같아요..ㅜㅜ 좀 더 쿨한 모브색이 나왔으면,0,보통이에요,보통이에요,보통이에요,보통이에요,
2024.08.09,5점만점에 3점,,,한달이상사용,[옵션] [미니글로스 기획] 16 럭셔리모브루비,색상은 사진처럼 막 광택이 엄청 돌진 않았어요 색상도 조금 많이 달라서 아쉬웠어요,0,보통이에요,보통이에요,보통이에요,보통이에요,
2024.08.03,5점만점에 3점,,,,[옵션] [미니글로스 기획] 16 럭셔리모브루비,"발림성이랑,수분감,디자인은 너무 마음에 들었는데 화면이랑 색이 약간 다른거같아서 좀 아쉬웠어용..생각한발색이 아닌느낌…..",1,보통이에요,보통이에요,아주 만족해요,아주 촉촉해요,
2024.07.25,5점만점에 3점,,,한달이상사용,[옵션] [미니글로스 기획] 16 럭셔리모브루비,틴트 제형은 맘에 드는데 착색이 진한 틴트라서ㅠㅠ 덧바르면 더 진해져서 그 점이 아쉬워요…,0,보통이에요,보통이에요,보통이에요,보통이에요,
2024.07.24,5점만점에 3점,,,한달이상사용,[옵션] [미니글로스 기획] 13 코숏진주코랄,다른 색상은 잘 사용했었는데 이 색상만 사용하면 입술 컨디션이 안 좋아지고 입술이 벗겨져요,0,보통이에요,보통이에요,보통이에요,보통이에요,
2024.07.23,5점만점에 3점,"지성, 가을웜톤, 트러블",,한달이상사용,[옵션] 11 멜로우피그,"가을 뮤트분들..생각보다 색이 정말정말 진해요..
쨍하게 올라오는 게 너무 강합니다..ㅠㅠ
잘 안 쓰게 되더라고요..",0,다소 아쉬워요,예상보다 짧아요,아주 만족해요,아주 촉촉해요, 가을웜톤
2024.07.21,5점만점에 3점,,,한달이상사용,[옵션] [미니글로스 기획] 15 그루밍피치오팔,떡볶이먹엇냐는소리듣긴햇는데예뻐요포인트립으로자주써요,0,보통이에요,보통이에요,보통이에요,보통이에요,
